gene ID,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Orth_group
AT5G56320,1.26E-57,0.999693001,0.985,0.498,2.85E-53,10,ATEXPA14,ORTHO905GF036552
AT1G22400,1.57E-57,0.88027859,0.992,0.448,3.54E-53,10,UGT85A1,ORTHO905GF000023
AT1G15660,2.18E-57,0.558050798,0.763,0.203,4.91E-53,10,CENP-C,ORTHO905GF003987
AT4G25310,3.10E-57,0.80499391,0.924,0.264,6.98E-53,10,AT4G25310,ORTHO905GF000075
AT2G47140,3.63E-57,1.099354275,1,0.503,8.18E-53,10,SDR3B,ORTHO905GF002717
AT5G10130,5.40E-57,1.29550655,0.992,0.57,1.22E-52,10,DFC,ORTHO905GF002780
AT1G69770,8.07E-57,0.66161765,0.763,0.21,1.82E-52,10,CMT3,ORTHO905GF000546
AT4G22010,8.16E-57,0.887410755,0.992,0.506,1.84E-52,10,sks4,ORTHO905GF000325
AT4G33590,1.24E-56,0.377365983,0.458,0.073,2.80E-52,10,AT4G33590,ORTHO905GF005772
AT5G63650,1.94E-56,0.826899007,0.969,0.455,4.38E-52,10,SRK2H,ORTHO905GF000815
AT4G21865,2.82E-56,0.56183949,0.679,0.159,6.36E-52,10,AT4G21865,ORTHO905GF036485
AT1G28290,2.87E-56,1.069746361,1,0.764,6.48E-52,10,AGP31,ORTHO905GF006608
AT2G30620,3.53E-56,0.536133093,1,0.962,7.97E-52,10,AT2G30620,ORTHO905GF001438
AT4G24310,4.28E-56,0.762745438,0.87,0.241,9.64E-52,10,DMP3,ORTHO905GF011931
AT2G28260,4.37E-56,0.579319894,0.702,0.17,9.85E-52,10,CNGC15,ORTHO905GF004115
AT1G30550,6.89E-56,0.815919015,0.985,0.376,1.55E-51,10,AT1G30550,ORTHO905GF010766
AT3G24670,7.83E-56,0.920685317,0.977,0.41,1.77E-51,10,AT3G24670,ORTHO905GF000387
AT1G44760,8.67E-56,0.744307235,0.992,0.629,1.96E-51,10,AT1G44760,ORTHO905GF004179
AT4G01950,9.50E-56,1.027204541,0.939,0.33,2.14E-51,10,ATGPAT3,ORTHO905GF003868
AT3G03650,9.69E-56,0.560942761,0.71,0.167,2.18E-51,10,EDA5,ORTHO905GF036220
AT5G08020,1.10E-55,0.695734143,0.504,0.095,2.47E-51,10,RPA1B,ORTHO905GF008081
AT1G41830,1.15E-55,0.872629135,1,0.556,2.60E-51,10,SKS6,ORTHO905GF000325
AT5G02220,1.38E-55,0.58479649,0.771,0.209,3.12E-51,10,SMR4,ORTHO905GF004417
AT5G57090,1.69E-55,0.875430614,1,0.526,3.80E-51,10,PIN2,ORTHO905GF000327
AT2G25440,3.00E-55,0.35660885,0.443,0.069,6.77E-51,10,AtRLP20,ORTHO905GF000825
AT5G02180,3.44E-55,0.430713791,0.504,0.092,7.75E-51,10,AVT1D,ORTHO905GF015190
AT4G39630,4.52E-55,0.539857166,0.641,0.147,1.02E-50,10,AT4G39630,ORTHO905GF007748
AT1G14220,5.05E-55,1.055972812,0.878,0.273,1.14E-50,10,AT1G14220,ORTHO905GF002339
AT4G29690,5.92E-55,0.974656074,0.985,0.519,1.34E-50,10,AT4G29690,ORTHO905GF003803
AT1G07370,7.51E-55,0.880017022,0.84,0.291,1.69E-50,10,PCNA,ORTHO905GF004872
AT5G48820,7.58E-55,0.450621077,0.427,0.068,1.71E-50,10,KRP3,ORTHO905GF002395
AT3G12240,1.09E-54,0.591860762,0.664,0.154,2.46E-50,10,SCPL15,ORTHO905GF000054
AT1G66280,1.46E-54,0.988691462,1,0.76,3.30E-50,10,BGLU22,ORTHO905GF012200
AT1G26840,1.53E-54,0.641381204,0.618,0.143,3.44E-50,10,ORC6,ORTHO905GF006196
AT3G51660,2.03E-54,0.700305888,0.817,0.23,4.57E-50,10,AT3G51660,ORTHO905GF018327
AT2G38810,2.96E-54,0.836382802,0.969,0.423,6.66E-50,10,HTA8,ORTHO905GF001104
AT3G05980,3.24E-54,0.60254751,0.695,0.174,7.31E-50,10,AT3G05980,ORTHO905GF016345
